;Num_Acc;id_vehicule;num_veh;catu;grav;catv;;obsm;dep;com;adr;lat;long;;voie;v1;v2;vosp;vma
1040;2,02E+11;138 305 660;A01;1;1;7;;2;75;75117;BD PERIPHEDIQUE EXTERIEUR;48,8830744;2,2837066;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1041;2,02E+11;138 305 661;B01;1;4;33;;2;75;75117;BD PERIPHEDIQUE EXTERIEUR;48,8830744;2,2837066;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1042;2,02E+11;138 305 658;B01;2;4;7;;2;75;75120;COURS DE VINCENNES;48,8470484;2,4110571;;COURS DE VINCENNES;0.0;;0;50
1043;2,02E+11;138 305 658;B01;2;1;7;;2;75;75120;COURS DE VINCENNES;48,8470484;2,4110571;;COURS DE VINCENNES;0.0;;0;50
1044;2,02E+11;138 305 658;B01;1;4;7;;2;75;75120;COURS DE VINCENNES;48,8470484;2,4110571;;COURS DE VINCENNES;0.0;;0;50
1045;2,02E+11;138 305 659;A01;2;1;33;;2;75;75120;COURS DE VINCENNES;48,8470484;2,4110571;;COURS DE VINCENNES;0.0;;0;50
1046;2,02E+11;138 305 659;A01;1;4;33;;2;75;75120;COURS DE VINCENNES;48,8470484;2,4110571;;COURS DE VINCENNES;0.0;;0;50
1047;2,02E+11;138 305 656;A01;1;4;33;;2;75;75120;RUE DE GUEBRIANT;48,872928;2,408648;;RUE DE GUEBRIANT;0.0;;0;50
1048;2,02E+11;138 305 655;Z01;3;4;33;;1;75;75111;BOULEVARD DE CHARONNE;48,8565645;2,3944381;;BOULEVARD DE CHARONNE;0.0;;0;50
1049;2,02E+11;138 305 653;B01;1;4;32;;2;75;75119;ROUTE DES PETITS PONTS;48,891922;2,39834;;ROUTE DES PETITS PONTS;0.0;;0;50
1050;2,02E+11;138 305 654;A01;1;1;7;;2;75;75119;ROUTE DES PETITS PONTS;48,891922;2,39834;;ROUTE DES PETITS PONTS;0.0;;0;50
1051;2,02E+11;138 305 651;A01;1;1;14;;2;75;75118;RUE MARX DORMOY;48,8881149;2,3598786;;RUE MARX DORMOY;0.0;;0;50
1052;2,02E+11;138 305 652;B01;1;4;1;;2;75;75118;RUE MARX DORMOY;48,8881149;2,3598786;;RUE MARX DORMOY;0.0;;0;50
1053;2,02E+11;138 305 649;B01;1;1;7;;2;75;75117;BOULEVARD DU BOIS LE PRETRE;48,8989026;2,3223972;;BOULEVARD DU BOIS LE PRETRE;0.0;;0;50
1054;2,02E+11;138 305 650;A01;1;4;32;;2;75;75117;BOULEVARD DU BOIS LE PRETRE;48,8989026;2,3223972;;BOULEVARD DU BOIS LE PRETRE;0.0;;0;50
1055;2,02E+11;138 305 648;A01;1;1;1;;1;75;75115;RUE OLIVIER DE SERRES;48,8361386;2,297221;;RUE OLIVIER DE SERRES;0.0;;0;50
1056;2,02E+11;138 305 648;A01;3;4;1;;1;75;75115;RUE OLIVIER DE SERRES;48,8361386;2,297221;;RUE OLIVIER DE SERRES;0.0;;0;50
1057;2,02E+11;138 305 646;A01;1;4;31;;2;75;75115;RUE DE VAUGIRARD;48,8362714;2,2943778;;RUE DE VAUGIRARD;0.0;;0;50
1058;2,02E+11;138 305 647;B01;1;1;10;;2;75;75115;RUE DE VAUGIRARD;48,8362714;2,2943778;;RUE DE VAUGIRARD;0.0;;0;50
1059;2,02E+11;138 305 644;A01;1;1;7;;2;75;75113;AVENUE D ITALIE;48,8225998;2,358404;;AVENUE D ITALIE;0.0;;0;50
1060;2,02E+11;138 305 645;B01;1;4;30;;2;75;75113;AVENUE D ITALIE;48,8225998;2,358404;;AVENUE D ITALIE;0.0;;0;50
1061;2,02E+11;138 305 645;B01;2;4;30;;2;75;75113;AVENUE D ITALIE;48,8225998;2,358404;;AVENUE D ITALIE;0.0;;0;50
1062;2,02E+11;138 305 642;A01;1;4;1;;2;75;75108;PLACE SAINT AUGUSTIN;48,8756728;2,3195863;;PLACE SAINT AUGUSTIN;0.0;;0;50
1063;2,02E+11;138 305 640;A01;1;4;7;;2;75;75104;RUE MORNAY;48,84951;2,36563;;RUE MORNAY;0.0;;0;50
1064;2,02E+11;138 305 641;B01;2;4;7;;2;75;75104;RUE MORNAY;48,84951;2,36563;;RUE MORNAY;0.0;;0;50
1065;2,02E+11;138 305 641;B01;2;4;7;;2;75;75104;RUE MORNAY;48,84951;2,36563;;RUE MORNAY;0.0;;0;50
1066;2,02E+11;138 305 641;B01;1;1;7;;2;75;75104;RUE MORNAY;48,84951;2,36563;;RUE MORNAY;0.0;;0;50
1067;2,02E+11;138 305 639;A01;3;4;33;;1;75;75104;BOULEVARD BEAUMARCHAIS;48,854811;2,3687331;;BOULEVARD BEAUMARCHAIS;0.0;;3;50
1068;2,02E+11;138 305 639;A01;1;1;33;;1;75;75104;BOULEVARD BEAUMARCHAIS;48,854811;2,3687331;;BOULEVARD BEAUMARCHAIS;0.0;;3;50
1240;2,02E+11;138 305 512;A01;1;1;7;;2;75;75112;BD PERIPHERIQUE EXTERIEUR;48,8377373;2,4129528;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1241;2,02E+11;138 305 513;B01;1;4;32;;2;75;75112;BD PERIPHERIQUE EXTERIEUR;48,8377373;2,4129528;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1242;2,02E+11;138 305 509;C01;1;1;14;;2;75;75112;RUE DE DIJON;48,835601;2,385911;;RUE DE DIJON;0.0;;0;30
1243;2,02E+11;138 305 510;B01;1;1;37;;2;75;75112;RUE DE DIJON;48,835601;2,385911;;RUE DE DIJON;0.0;;0;30
1244;2,02E+11;138 305 511;A01;2;3;33;;2;75;75112;RUE DE DIJON;48,835601;2,385911;;RUE DE DIJON;0.0;;0;30
1245;2,02E+11;138 305 511;A01;1;4;33;;2;75;75112;RUE DE DIJON;48,835601;2,385911;;RUE DE DIJON;0.0;;0;30
1246;2,02E+11;138 305 508;A01;3;4;1;;1;75;75105;BOULEVARD SAINT MARCEL;48,8384763;2,3570239;;BOULEVARD SAINT MARCEL;0.0;;-1;30
1247;2,02E+11;138 305 508;A01;1;1;1;;1;75;75105;BOULEVARD SAINT MARCEL;48,8384763;2,3570239;;BOULEVARD SAINT MARCEL;0.0;;-1;30
1248;2,02E+11;138 305 506;B01;1;1;7;;2;75;75106;BOULEVARD SAINT MICHEL;48,8412519;2,3374696;;BOULEVARD SAINT MICHEL;0.0;;0;50
1249;2,02E+11;138 305 507;A01;1;4;30;;2;75;75106;BOULEVARD SAINT MICHEL;48,8412519;2,3374696;;BOULEVARD SAINT MICHEL;0.0;;0;50
1250;2,02E+11;138 305 504;B01;1;1;7;;2;75;75117;AVENUE DE VILLIERS;48,885265;2,294796;;AVENUE DE VILLIERS;0.0;;0;50
1251;2,02E+11;138 305 505;A01;1;4;33;;2;75;75117;AVENUE DE VILLIERS;48,885265;2,294796;;AVENUE DE VILLIERS;0.0;;0;50
1252;2,02E+11;138 305 502;B01;1;1;7;;2;75;75117;BOULEVARD DE COURCELLES;48,879908;2,306633;;BOULEVARD DE COURCELLES;0.0;;0;30
1253;2,02E+11;138 305 502;B01;2;1;7;;2;75;75117;BOULEVARD DE COURCELLES;48,879908;2,306633;;BOULEVARD DE COURCELLES;0.0;;0;30
1254;2,02E+11;138 305 503;A01;1;4;30;;2;75;75117;BOULEVARD DE COURCELLES;48,879908;2,306633;;BOULEVARD DE COURCELLES;0.0;;0;30
1255;2,02E+11;138 305 501;A01;3;4;31;;1;75;75108;AVENUE MARCEAU;48,8660756;2,2996588;;AVENUE MARCEAU;0.0;;0;50
1256;2,02E+11;138 305 501;A01;1;1;31;;1;75;75108;AVENUE MARCEAU;48,8660756;2,2996588;;AVENUE MARCEAU;0.0;;0;50
1257;2,02E+11;138 305 500;A01;1;4;31;;2;75;75112;BOULEVARD DIDEROT;48,8466734;2,3809492;;BOULEVARD DIDEROT;0.0;;3;50
1258;2,02E+11;138 305 497;B01;1;4;32;;2;75;75112;AVENUE LEDRU ROLLIN;48,848819;2,372875;;AVENUE LEDRU ROLLIN;0.0;;0;50
1259;2,02E+11;138 305 498;A01;1;1;7;;2;75;75112;AVENUE LEDRU ROLLIN;48,848819;2,372875;;AVENUE LEDRU ROLLIN;0.0;;0;50
1260;2,02E+11;138 305 496;A01;3;4;43;;1;75;75111;RUE DE CRUSSOL;48,86408;2,367715;;RUE DE CRUSSOL;0.0;;0;30
1261;2,02E+11;138 305 496;A01;1;1;43;;1;75;75111;RUE DE CRUSSOL;48,86408;2,367715;;RUE DE CRUSSOL;0.0;;0;30
1262;2,02E+11;138 305 495;A01;1;4;33;;2;75;75108;COURS LA REINE;48,864681;2,313657;;COURS LA REINE;0.0;;0;50
